GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC04_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC04_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83
Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Percent Margin of Error; SEX AND AGE - Total population,Estimate; SEX AND AGE - Total population - Male,Margin of Error; SEX AND AGE - Total population - Male,Percent; SEX AND AGE - Total population - Male,Percent Margin of Error; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Margin of Error; SEX AND AGE - Total population - Female,Percent; SEX AND AGE - Total population - Female,Percent Margin of Error; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Under 5 years,Margin of Error; SEX AND AGE - Under 5 years,Percent; SEX AND AGE - Under 5 years,Percent Margin of Error; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 9 years,Margin of Error; SEX AND AGE - 5 to 9 years,Percent; SEX AND AGE - 5 to 9 years,Percent Margin of Error; SEX AND AGE - 5 to 9 years,Estimate; SEX AND AGE - 10 to 14 years,Margin of Error; SEX AND AGE - 10 to 14 years,Percent; SEX AND AGE - 10 to 14 years,Percent Margin of Error; SEX AND AGE - 10 to 14 years,Estimate; SEX AND AGE - 15 to 19 years,Margin of Error; SEX AND AGE - 15 to 19 years,Percent; SEX AND AGE - 15 to 19 years,Percent Margin of Error; SEX AND AGE - 15 to 19 years,Estimate; SEX AND AGE - 20 to 24 years,Margin of Error; SEX AND AGE - 20 to 24 years,Percent; SEX AND AGE - 20 to 24 years,Percent Margin of Error; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Margin of Error; SEX AND AGE - 25 to 34 years,Percent; SEX AND AGE - 25 to 34 years,Percent Margin of Error; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Margin of Error; SEX AND AGE - 35 to 44 years,Percent; SEX AND AGE - 35 to 44 years,Percent Margin of Error; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Margin of Error; SEX AND AGE - 45 to 54 years,Percent; SEX AND AGE - 45 to 54 years,Percent Margin of Error; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Margin of Error; SEX AND AGE - 55 to 59 years,Percent; SEX AND AGE - 55 to 59 years,Percent Margin of Error; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Margin of Error; SEX AND AGE - 60 to 64 years,Percent; SEX AND AGE - 60 to 64 years,Percent Margin of Error; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Margin of Error; SEX AND AGE - 65 to 74 years,Percent; SEX AND AGE - 65 to 74 years,Percent Margin of Error; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 to 84 years,Margin of Error; SEX AND AGE - 75 to 84 years,Percent; SEX AND AGE - 75 to 84 years,Percent Margin of Error; SEX AND AGE - 75 to 84 years,Estimate; SEX AND AGE - 85 years and over,Margin of Error; SEX AND AGE - 85 years and over,Percent; SEX AND AGE - 85 years and over,Percent Margin of Error; SEX AND AGE - 85 years and over,Estimate; RACE - Race alone or in combination with one or more other races - Total population,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population,Percent; RACE - Race alone or in combination with one or more other races - Total population,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population,Estimate; RACE - Race alone or in combination with one or more other races - Total population - White,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - White,Percent; RACE - Race alone or in combination with one or more other races - Total population - White,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - White,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Percent; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Estimate; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Percent; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Asian,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Asian,Percent; RACE - Race alone or in combination with one or more other races - Total population - Asian,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Asian,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Percent; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Percent; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Some other race
1400000US06075010100,6075010100,"Census Tract 101, San Francisco County, California",4000,305,4000,(X),2046,327,51.2,5.6,1954,204,48.9,5.6,74,46,1.9,1.2,79,37,2,0.9,98,64,2.5,1.6,110,37,2.8,0.9,355,168,8.9,4,1041,271,26,6.5,540,168,13.5,4,538,151,13.5,4.1,150,70,3.8,1.7,206,93,5.2,2.3,293,113,7.3,2.7,339,141,8.5,3.5,177,104,4.4,2.7,4000,305,4000,(X),2141,333,53.5,7.4,193,157,4.8,4,14,22,0.4,0.6,1489,233,37.2,5,0,12,0,0.8,306,197,7.7,4.9
1400000US06075010200,6075010200,"Census Tract 102, San Francisco County, California",4300,442,4300,(X),2212,333,51.4,4.7,2088,264,48.6,4.7,121,135,2.8,3,23,32,0.5,0.7,93,60,2.2,1.3,113,55,2.6,1.3,120,97,2.8,2.2,1419,325,33,6,551,195,12.8,4.8,501,235,11.7,5.1,238,105,5.5,2.5,230,110,5.3,2.5,460,147,10.7,3.3,319,100,7.4,2.7,112,79,2.6,1.9,4300,442,4300,(X),3733,398,86.8,3.7,33,50,0.8,1.2,99,101,2.3,2.3,529,156,12.3,3.3,10,18,0.2,0.4,78,95,1.8,2.2
1400000US06075010300,6075010300,"Census Tract 103, San Francisco County, California",4341,426,4341,(X),2270,351,52.3,6,2071,318,47.7,6,205,174,4.7,3.8,153,59,3.5,1.3,92,98,2.1,2.2,33,36,0.8,0.8,308,165,7.1,3.8,1039,332,23.9,6.9,748,174,17.2,4.1,324,153,7.5,3.3,270,120,6.2,2.8,296,128,6.8,3.1,477,215,11,4.8,171,74,3.9,1.8,225,100,5.2,2.3,4341,426,4341,(X),2770,401,63.8,6.6,15,26,0.3,0.6,47,57,1.1,1.3,1489,368,34.3,7.7,0,12,0,0.7,117,130,2.7,3
1400000US06075010400,6075010400,"Census Tract 104, San Francisco County, California",5028,577,5028,(X),2636,403,52.4,5,2392,366,47.6,5,297,144,5.9,2.5,180,103,3.6,1.9,113,66,2.2,1.3,40,40,0.8,0.8,175,114,3.5,2.2,1349,370,26.8,6.2,906,283,18,5.2,725,168,14.4,3.2,181,100,3.6,2,370,123,7.4,2.5,450,99,8.9,2,181,92,3.6,1.8,61,49,1.2,1,5028,577,5028,(X),3436,440,68.3,6.9,114,97,2.3,1.9,17,22,0.3,0.4,1656,374,32.9,5.7,0,17,0,0.6,235,228,4.7,4.4
1400000US06075010500,6075010500,"Census Tract 105, San Francisco County, California",2684,263,2684,(X),1333,173,49.7,4,1351,165,50.3,4,101,67,3.8,2.4,11,16,0.4,0.6,94,44,3.5,1.6,74,38,2.8,1.5,141,98,5.3,3.5,485,171,18.1,5.8,461,154,17.2,5.4,309,109,11.5,3.9,116,65,4.3,2.3,161,72,6,2.5,265,75,9.9,2.9,314,72,11.7,2.7,152,71,5.7,2.7,2684,263,2684,(X),1731,225,64.5,10.2,249,207,9.3,7.7,15,19,0.6,0.7,945,241,35.2,8.4,25,39,0.9,1.4,75,66,2.8,2.4
1400000US06075010600,6075010600,"Census Tract 106, San Francisco County, California",3567,312,3567,(X),1960,234,54.9,4.3,1607,206,45.1,4.3,35,31,1,0.9,74,54,2.1,1.5,46,32,1.3,0.9,177,119,5,3.3,248,92,7,2.5,862,192,24.2,5.2,378,137,10.6,3.7,450,110,12.6,2.8,290,110,8.1,2.8,317,125,8.9,3.3,291,91,8.2,2.5,226,92,6.3,2.8,173,95,4.9,2.7,3567,312,3567,(X),1299,198,36.4,5.5,80,64,2.2,1.8,4,7,0.1,0.2,2163,303,60.6,5.8,0,12,0,0.9,60,58,1.7,1.6
1400000US06075010700,6075010700,"Census Tract 107, San Francisco County, California",5509,474,5509,(X),2585,361,46.9,4.9,2924,360,53.1,4.9,158,118,2.9,2,111,60,2,1.1,198,89,3.6,1.5,174,95,3.2,1.7,500,237,9.1,4,911,273,16.5,4.7,571,157,10.4,2.8,838,210,15.2,3.6,352,130,6.4,2.3,450,141,8.2,2.6,458,151,8.3,2.6,418,148,7.6,2.8,370,183,6.7,3.5,5509,474,5509,(X),1127,328,20.5,5.4,0,17,0,0.6,21,31,0.4,0.6,4180,434,75.9,5.7,0,17,0,0.6,220,223,4,4
1400000US06075010800,6075010800,"Census Tract 108, San Francisco County, California",4514,368,4514,(X),1968,271,43.6,4.6,2546,288,56.4,4.6,68,53,1.5,1.2,102,70,2.3,1.5,146,70,3.2,1.6,91,66,2,1.5,324,167,7.2,3.5,1053,302,23.3,5.8,584,191,12.9,4.1,636,184,14.1,4.3,259,117,5.7,2.5,282,83,6.2,1.9,484,131,10.7,2.8,260,139,5.8,3.1,225,94,5,2.2,4514,368,4514,(X),2362,312,52.3,5.5,28,33,0.6,0.7,42,39,0.9,0.9,2111,274,46.8,5.4,0,12,0,0.7,151,142,3.3,3
1400000US06075010900,6075010900,"Census Tract 109, San Francisco County, California",4447,328,4447,(X),1912,239,43,5.3,2535,335,57,5.3,50,54,1.1,1.2,66,52,1.5,1.2,52,41,1.2,0.9,62,60,1.4,1.3,159,84,3.6,1.9,1849,300,41.6,5.7,619,222,13.9,4.7,459,164,10.3,3.7,195,104,4.4,2.3,156,78,3.5,1.8,439,123,9.9,2.8,264,109,5.9,2.4,77,62,1.7,1.4,4447,328,4447,(X),3243,255,72.9,4.9,95,74,2.1,1.7,0,12,0,0.7,1075,251,24.2,4.7,0,12,0,0.7,79,79,1.8,1.8
