GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC01_VC88,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100
Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races
1400000US06075010100,6075010100,"Census Tract 101, San Francisco County, California",4000,460,1851,332,46.3,7.7,151,153,3.8,3.9,0,12,0,0.8,1416,232,35.4,5.2,0,12,0,0.8,7,13,0.2,0.3,115,105,2.9,2.6
1400000US06075010200,6075010200,"Census Tract 102, San Francisco County, California",4300,167,3472,372,80.7,4.4,0,12,0,0.8,0,12,0,0.8,479,152,11.1,3.1,0,12,0,0.8,0,12,0,0.8,182,114,4.2,2.6
1400000US06075010300,6075010300,"Census Tract 103, San Francisco County, California",4341,558,2323,335,53.5,6.4,0,12,0,0.7,0,12,0,0.7,1363,335,31.4,7,0,12,0,0.7,0,12,0,0.7,97,70,2.2,1.6
1400000US06075010400,6075010400,"Census Tract 104, San Francisco County, California",5028,518,2831,418,56.3,6.9,0,17,0,0.6,5,9,0.1,0.2,1398,339,27.8,5.4,0,17,0,0.6,0,17,0,0.6,276,134,5.5,2.7
1400000US06075010500,6075010500,"Census Tract 105, San Francisco County, California",2684,149,1370,219,51,8.4,145,178,5.4,6.5,0,12,0,1.2,732,270,27.3,8.8,25,39,0.9,1.4,35,51,1.3,1.9,228,166,8.5,6.5
1400000US06075010600,6075010600,"Census Tract 106, San Francisco County, California",3567,147,1197,185,33.6,5.2,50,63,1.4,1.8,0,12,0,0.9,2134,304,59.8,5.9,0,12,0,0.9,0,12,0,0.9,39,25,1.1,0.7
1400000US06075010700,6075010700,"Census Tract 107, San Francisco County, California",5509,309,1020,279,18.5,4.6,0,17,0,0.6,21,31,0.4,0.6,4141,402,75.2,5.6,0,17,0,0.6,18,26,0.3,0.5,0,17,0,0.6
1400000US06075010800,6075010800,"Census Tract 108, San Francisco County, California",4514,427,1949,295,43.2,5.4,0,12,0,0.7,0,12,0,0.7,1989,270,44.1,5.3,0,12,0,0.7,0,12,0,0.7,149,88,3.3,2
1400000US06075010900,6075010900,"Census Tract 109, San Francisco County, California",4447,88,3174,264,71.4,5.1,75,67,1.7,1.5,0,12,0,0.7,1050,245,23.6,4.6,0,12,0,0.7,15,25,0.3,0.6,45,51,1,1.1
