,id,geocoded_address,tract,block
0,6522798,"101 SOUTH VAN NESS AVE,  SAN FRANCISCO,  CA,  94103",017700,2014
1,6522814,"75 MOSS ST,  SAN FRANCISCO,  CA,  94103",017802,1009
2,6522820,"80 WALTER ST,  SAN FRANCISCO,  CA,  94114",016900,1004
3,6522993,"390 CLEMENTINA ST,  SAN FRANCISCO,  CA,  94103",017801,1003
4,6522909,"10 ADA CT,  SAN FRANCISCO,  CA,  94109",012201,1003
5,6522939,"1338 LARKIN ST,  SAN FRANCISCO,  CA,  94109",011100,2002
6,6522945,"979 BRYANT ST,  SAN FRANCISCO,  CA,  94103",018000,2025
7,6522975,"1035 DE HARO ST,  SAN FRANCISCO,  CA,  94107",061400,3003
8,6522995,"390 CLEMENTINA ST,  SAN FRANCISCO,  CA,  94103",017801,1003
9,6523004,"780 BRANNAN ST,  SAN FRANCISCO,  CA,  94103",018000,2014
10,6523012,"112 EUREKA ST,  SAN FRANCISCO,  CA,  94114",020500,2003
11,6523025,"19 MIRAMAR AVE,  SAN FRANCISCO,  CA,  94112",031202,1005
12,6523044,"1401 7TH AVE,  SAN FRANCISCO,  CA,  94122",030202,3000
13,6523062,"3665 MISSION ST,  SAN FRANCISCO,  CA,  94110",025401,1006
14,6523063,"3773 MISSION ST,  SAN FRANCISCO,  CA,  94110",025401,3005
15,6523066,"298 COLERIDGE ST,  SAN FRANCISCO,  CA,  94110",025300,3002
16,6523068,"1295 GUERRERO ST,  SAN FRANCISCO,  CA,  94110",,
17,6523073,"210 HOLLADAY AVE,  SAN FRANCISCO,  CA,  94110",025100,1012
18,6523078,"1801 MISSION ST,  SAN FRANCISCO,  CA,  94103",020100,3002
19,6523092,"162 EDDY ST,  SAN FRANCISCO,  CA,  94102",012501,2002
20,6523094,"112 EUREKA ST,  SAN FRANCISCO,  CA,  94114",020500,2003
21,6523095,"1622 SHAFTER AVE,  SAN FRANCISCO,  CA,  94124",023200,3004
22,6523100,"601 FOLSOM ST,  SAN FRANCISCO,  CA,  94107",061500,2017
23,6523111,"93 CLEARFIELD DR,  SAN FRANCISCO,  CA,  94132",033100,4023
24,6523176,"18 SHOTWELL ST,  SAN FRANCISCO,  CA,  94103",017700,2037
25,6523150,"80 UNIVERSITY ST,  SAN FRANCISCO,  CA,  94134",025600,2000
26,6523153,"518 ELLIS ST,  SAN FRANCISCO,  CA,  94109",012201,2000
27,6523156,"301 CORNWALL ST,  SAN FRANCISCO,  CA,  94118",040100,4005
28,6523157,"5145 3RD ST,  SAN FRANCISCO,  CA,  94124",023200,3004
29,6523158,"597 2ND AVE,  SAN FRANCISCO,  CA,  94118",045100,1004
30,6523162,"301 CORNWALL ST,  SAN FRANCISCO,  CA,  94118",040100,4005
31,6523163,"2123 QUESADA AVE,  SAN FRANCISCO,  CA,  94124",023001,1020
32,6523166,"301 CORNWALL ST,  SAN FRANCISCO,  CA,  94118",040100,4005
33,6523171,"655 ATHENS ST,  SAN FRANCISCO,  CA,  94112",026003,2011
34,6523181,"65 CHENERY ST,  SAN FRANCISCO,  CA,  94131",021800,1002
35,6523182,"259 CLARA ST,  SAN FRANCISCO,  CA,  94107",017802,1005
36,6523190,"347 CORBETT AVE,  SAN FRANCISCO,  CA,  94114",020401,1002
37,6523194,"522 LONDON ST,  SAN FRANCISCO,  CA,  94112",026004,1000
38,6523198,"201 ALABAMA ST,  SAN FRANCISCO,  CA,  94103",017700,1041
39,6523200,"1 POWELL ST,  SAN FRANCISCO,  CA,  94102",012501,2000
40,6523231,"4706 3RD ST,  SAN FRANCISCO,  CA,  94124",061200,2010
41,6523242,"450 POST ST,  SAN FRANCISCO,  CA,  94102",012100,2003
42,6523243,"4909 3RD ST,  SAN FRANCISCO,  CA,  94124",023200,3001
43,6523245,"1127 PALOU AVE,  SAN FRANCISCO,  CA,  94124",023200,2013
44,6523248,"991 MCALLISTER ST,  SAN FRANCISCO,  CA,  94115",016100,2000
45,6523252,"3939 ORTEGA ST,  SAN FRANCISCO,  CA,  94122",035201,2007
46,6523266,"1529 POLK ST,  SAN FRANCISCO,  CA,  94109",011100,1006
47,6523270,"1529 POLK ST,  SAN FRANCISCO,  CA,  94109",011100,1006
48,6523273,"774 TEHAMA ST,  SAN FRANCISCO,  CA,  94103",017802,2000
49,6523276,"2131 PINE ST,  SAN FRANCISCO,  CA,  94115",015200,2004
50,6523277,"1541 POLK ST,  SAN FRANCISCO,  CA,  94109",011100,1006
51,6523281,"1541 POLK ST,  SAN FRANCISCO,  CA,  94109",011100,1006
52,6523301,"442 FELL ST,  SAN FRANCISCO,  CA,  94102",016200,3005
53,6523303,"2706 20TH ST,  SAN FRANCISCO,  CA,  94110",022801,2000
54,6523305,"2 BRYANT ST,  SAN FRANCISCO,  CA,  94105",061500,4002
55,6523311,"3446 19TH ST,  SAN FRANCISCO,  CA,  94110",020800,2003
56,6523312,"935 NATOMA ST,  SAN FRANCISCO,  CA,  94103",017601,4011
57,6523322,"99 ONONDAGA AVE,  SAN FRANCISCO,  CA,  94112",026100,1010
58,6523325,"2282 MISSION ST,  SAN FRANCISCO,  CA,  94110",020800,2002
59,6523330,"2268 MISSION ST,  SAN FRANCISCO,  CA,  94110",020800,2002
60,6523332,"1702 FULTON ST,  SAN FRANCISCO,  CA,  94117",015700,2006
61,6523335,"2234 MISSION ST,  SAN FRANCISCO,  CA,  94110",020800,2002
62,6523336,"625 BUSH ST,  SAN FRANCISCO,  CA,  94108",011700,2009
63,6523340,"2214 MISSION ST,  SAN FRANCISCO,  CA,  94110",020800,2002
64,6523342,"1732 15TH ST,  SAN FRANCISCO,  CA,  94103",020200,2007
65,6523343,"2200 MISSION ST,  SAN FRANCISCO,  CA,  94110",020800,2002
66,6523355,"1654 GOLDEN GATE AVE,  SAN FRANCISCO,  CA,  94115",015802,1001
67,6523356,"1 CRANLEIGH DR,  SAN FRANCISCO,  CA,  94132",030900,6003
68,6523358,"1654 GOLDEN GATE AVE,  SAN FRANCISCO,  CA,  94115",015802,1001
69,6523360,"1666 GOLDEN GATE AVE,  SAN FRANCISCO,  CA,  94115",015802,1001
70,6523371,"2870 SAN BRUNO AVE,  SAN FRANCISCO,  CA,  94134",025702,1008
71,6523373,"2666 BUSH ST,  SAN FRANCISCO,  CA,  94115",015300,2004
72,6523374,"121 CAPP ST,  SAN FRANCISCO,  CA,  94110",020100,4000
73,6523381,"1649 JERROLD AVE,  SAN FRANCISCO,  CA,  94124",061200,2000
74,6523382,"1575 SACRAMENTO ST,  SAN FRANCISCO,  CA,  94109",011100,2001
75,6523391,"125 ROMAIN ST,  SAN FRANCISCO,  CA,  94114",020402,2005
76,6523392,"195 DUBLIN ST,  SAN FRANCISCO,  CA,  94112",026003,2006
77,6523396,"859 35TH AVE,  SAN FRANCISCO,  CA,  94121",047802,2005
78,6523397,"154 NEWMAN ST,  SAN FRANCISCO,  CA,  94110",025401,2005
79,6523400,"630 OCTAVIA ST,  SAN FRANCISCO,  CA,  94102",016200,1003
80,6523407,"2237 POWELL ST,  SAN FRANCISCO,  CA,  94133",010100,2005
