GEO.id,GEO.id2,GEO.display-label,HC01_VC114,HC02_VC114
Id,Id2,Geography,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars)
1400000US06075010100,6075010100,"Census Tract 101, San Francisco County, California",74250,39737
1400000US06075010200,6075010200,"Census Tract 102, San Francisco County, California",149653,42165
1400000US06075010300,6075010300,"Census Tract 103, San Francisco County, California",93843,31668
1400000US06075010400,6075010400,"Census Tract 104, San Francisco County, California",101959,7381
1400000US06075010500,6075010500,"Census Tract 105, San Francisco County, California",173625,97687
1400000US06075010600,6075010600,"Census Tract 106, San Francisco County, California",36941,10149
1400000US06075010700,6075010700,"Census Tract 107, San Francisco County, California",29179,7588
1400000US06075010800,6075010800,"Census Tract 108, San Francisco County, California",104479,51531
1400000US06075010900,6075010900,"Census Tract 109, San Francisco County, California",188333,44138
1400000US06075011000,6075011000,"Census Tract 110, San Francisco County, California",116000,70060
1400000US06075011100,6075011100,"Census Tract 111, San Francisco County, California",101938,20944
1400000US06075011200,6075011200,"Census Tract 112, San Francisco County, California",164750,73816
1400000US06075011300,6075011300,"Census Tract 113, San Francisco County, California",36107,11256
1400000US06075011700,6075011700,"Census Tract 117, San Francisco County, California",50500,37561
1400000US06075011800,6075011800,"Census Tract 118, San Francisco County, California",23693,12927
1400000US06075011901,6075011901,"Census Tract 119.01, San Francisco County, California",119635,32506
1400000US06075011902,6075011902,"Census Tract 119.02, San Francisco County, California",115781,44157
1400000US06075012000,6075012000,"Census Tract 120, San Francisco County, California",41063,17634
1400000US06075012100,6075012100,"Census Tract 121, San Francisco County, California",53285,14162
1400000US06075012201,6075012201,"Census Tract 122.01, San Francisco County, California",61109,16862
1400000US06075012202,6075012202,"Census Tract 122.02, San Francisco County, California",29750,22450
1400000US06075012301,6075012301,"Census Tract 123.01, San Francisco County, California",21506,6775
1400000US06075012302,6075012302,"Census Tract 123.02, San Francisco County, California",-,**
1400000US06075012401,6075012401,"Census Tract 124.01, San Francisco County, California",33929,10148
1400000US06075012402,6075012402,"Census Tract 124.02, San Francisco County, California",72926,49499
1400000US06075012501,6075012501,"Census Tract 125.01, San Francisco County, California",23661,12406
1400000US06075012502,6075012502,"Census Tract 125.02, San Francisco County, California",34271,31771
1400000US06075012601,6075012601,"Census Tract 126.01, San Francisco County, California",193882,51197
