GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01
Id,Id2,Geography,All families  - Total; Estimate; Families,All families  - Total; Margin of Error; Families,All families  - Percent below poverty level; Estimate; Families,All families  - Percent below poverty level; Margin of Error; Families
1400000US06075010100,6075010100,"Census Tract 101, San Francisco County, California",815,140,8.7,8.6
1400000US06075010200,6075010200,"Census Tract 102, San Francisco County, California",683,158,2.5,4.1
1400000US06075010300,6075010300,"Census Tract 103, San Francisco County, California",929,182,9.4,5.2
1400000US06075010400,6075010400,"Census Tract 104, San Francisco County, California",959,190,2,2.8
1400000US06075010500,6075010500,"Census Tract 105, San Francisco County, California",563,93,0,5.6
1400000US06075010600,6075010600,"Census Tract 106, San Francisco County, California",679,120,23.7,10.2
1400000US06075010700,6075010700,"Census Tract 107, San Francisco County, California",1254,155,20.2,8.7
1400000US06075010800,6075010800,"Census Tract 108, San Francisco County, California",711,117,18.1,11
1400000US06075010900,6075010900,"Census Tract 109, San Francisco County, California",578,143,6.7,7.9
1400000US06075011000,6075011000,"Census Tract 110, San Francisco County, California",888,185,0,3.6
1400000US06075011100,6075011100,"Census Tract 111, San Francisco County, California",690,159,1.6,2.6
1400000US06075011200,6075011200,"Census Tract 112, San Francisco County, California",679,112,7.4,5.9
1400000US06075011300,6075011300,"Census Tract 113, San Francisco County, California",722,123,22.4,8.6
1400000US06075011700,6075011700,"Census Tract 117, San Francisco County, California",290,58,10.3,8.9
1400000US06075011800,6075011800,"Census Tract 118, San Francisco County, California",377,63,28.4,10.9
1400000US06075011901,6075011901,"Census Tract 119.01, San Francisco County, California",305,70,0,10.1
1400000US06075011902,6075011902,"Census Tract 119.02, San Francisco County, California",265,83,8.3,9.4
1400000US06075012000,6075012000,"Census Tract 120, San Francisco County, California",599,141,7.8,8
1400000US06075012100,6075012100,"Census Tract 121, San Francisco County, California",357,118,2.8,4.5
1400000US06075012201,6075012201,"Census Tract 122.01, San Francisco County, California",603,165,2,4.5
1400000US06075012202,6075012202,"Census Tract 122.02, San Francisco County, California",301,87,6,7.4
1400000US06075012301,6075012301,"Census Tract 123.01, San Francisco County, California",331,107,29.6,17.5
1400000US06075012302,6075012302,"Census Tract 123.02, San Francisco County, California",245,83,13.9,14.3
1400000US06075012401,6075012401,"Census Tract 124.01, San Francisco County, California",684,157,7.6,5.9
1400000US06075012402,6075012402,"Census Tract 124.02, San Francisco County, California",369,120,23.3,14.8
1400000US06075012501,6075012501,"Census Tract 125.01, San Francisco County, California",755,140,13.1,8.7
1400000US06075012502,6075012502,"Census Tract 125.02, San Francisco County, California",433,133,10.6,11.3
1400000US06075012601,6075012601,"Census Tract 126.01, San Francisco County, California",399,98,0,7.8
1400000US06075012602,6075012602,"Census Tract 126.02, San Francisco County, California",537,106,0,5.9
1400000US06075012700,6075012700,"Census Tract 127, San Francisco County, California",762,162,0,4.2
1400000US06075012800,6075012800,"Census Tract 128, San Francisco County, California",842,163,0,3.8
1400000US06075012901,6075012901,"Census Tract 129.01, San Francisco County, California",432,82,0,7.2
1400000US06075012902,6075012902,"Census Tract 129.02, San Francisco County, California",556,159,10.4,6.8
1400000US06075013000,6075013000,"Census Tract 130, San Francisco County, California",830,183,5.5,4.9
1400000US06075013101,6075013101,"Census Tract 131.01, San Francisco County, California",543,138,3.7,5.7
1400000US06075013102,6075013102,"Census Tract 131.02, San Francisco County, California",706,132,0,4.5
1400000US06075013200,6075013200,"Census Tract 132, San Francisco County, California",849,125,5.1,5.5
1400000US06075013300,6075013300,"Census Tract 133, San Francisco County, California",968,95,2.9,3.3
1400000US06075013400,6075013400,"Census Tract 134, San Francisco County, California",786,131,0,4
1400000US06075013500,6075013500,"Census Tract 135, San Francisco County, California",439,88,0,7.1
1400000US06075015100,6075015100,"Census Tract 151, San Francisco County, California",283,82,3.5,5.3
1400000US06075015200,6075015200,"Census Tract 152, San Francisco County, California",635,190,5.8,6
1400000US06075015300,6075015300,"Census Tract 153, San Francisco County, California",381,59,1.3,2.3
1400000US06075015400,6075015400,"Census Tract 154, San Francisco County, California",1271,185,2.3,2.7
1400000US06075015500,6075015500,"Census Tract 155, San Francisco County, California",604,172,18.2,16
1400000US06075015600,6075015600,"Census Tract 156, San Francisco County, California",573,76,9.4,7.7
1400000US06075015700,6075015700,"Census Tract 157, San Francisco County, California",1099,135,3.7,4.1
1400000US06075015801,6075015801,"Census Tract 158.01, San Francisco County, California",854,123,17.4,9.6
1400000US06075015802,6075015802,"Census Tract 158.02, San Francisco County, California",444,100,0.5,1.8
1400000US06075015900,6075015900,"Census Tract 159, San Francisco County, California",780,166,6,9.4
1400000US06075016000,6075016000,"Census Tract 160, San Francisco County, California",402,90,7,8.8
1400000US06075016100,6075016100,"Census Tract 161, San Francisco County, California",1132,212,25,11.1
1400000US06075016200,6075016200,"Census Tract 162, San Francisco County, California",356,86,0,8.7
1400000US06075016300,6075016300,"Census Tract 163, San Francisco County, California",550,145,18.7,10.9
1400000US06075016400,6075016400,"Census Tract 164, San Francisco County, California",548,112,4.2,4.5
1400000US06075016500,6075016500,"Census Tract 165, San Francisco County, California",1061,197,0,3
1400000US06075016600,6075016600,"Census Tract 166, San Francisco County, California",715,171,0,4.4
1400000US06075016700,6075016700,"Census Tract 167, San Francisco County, California",846,129,0,3.8
1400000US06075016801,6075016801,"Census Tract 168.01, San Francisco County, California",355,86,4.2,4.5
