GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Total; Margin of Error; Population 16 years and over,Labor Force Participation Rate; Estimate; Population 16 years and over,Labor Force Participation Rate; Margin of Error; Population 16 years and over,Employment/Population Ratio; Estimate; Population 16 years and over,Employment/Population Ratio; Margin of Error; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over
1400000US06075010100,6075010100,"Census Tract 101, San Francisco County, California",3711,285,61.9,4.9,58.6,5.4,5.3,3.8
1400000US06075010200,6075010200,"Census Tract 102, San Francisco County, California",4063,375,68.6,5,67.2,5,2,2
1400000US06075010300,6075010300,"Census Tract 103, San Francisco County, California",3872,350,69.3,5.7,66.9,6,3.5,2.2
1400000US06075010400,6075010400,"Census Tract 104, San Francisco County, California",4438,461,77.1,4.6,71.9,4.8,6.7,3
1400000US06075010500,6075010500,"Census Tract 105, San Francisco County, California",2478,241,63.1,5.5,58.9,5.5,6.7,4.8
1400000US06075010600,6075010600,"Census Tract 106, San Francisco County, California",3405,307,62.1,5.6,56.4,5.6,8.5,4.9
1400000US06075010700,6075010700,"Census Tract 107, San Francisco County, California",5042,403,59,4.9,54.6,4.9,7.3,3.7
1400000US06075010800,6075010800,"Census Tract 108, San Francisco County, California",4179,354,70.4,5.2,67.7,5.4,3.7,2.4
1400000US06075010900,6075010900,"Census Tract 109, San Francisco County, California",4279,318,77.3,4.1,75.2,4.2,2.8,2.2
1400000US06075011000,6075011000,"Census Tract 110, San Francisco County, California",4588,493,80.2,4.8,77.8,4.8,2.9,1.9
1400000US06075011100,6075011100,"Census Tract 111, San Francisco County, California",4775,391,77.3,4.5,73.8,4.9,3.1,2
1400000US06075011200,6075011200,"Census Tract 112, San Francisco County, California",3171,238,65.2,4.9,62.3,4.8,4.6,2.4
1400000US06075011300,6075011300,"Census Tract 113, San Francisco County, California",2826,220,50.3,6.1,49.6,6,1.3,1.8
1400000US06075011700,6075011700,"Census Tract 117, San Francisco County, California",1639,184,70.3,6.2,65.2,6,7.3,3.7
1400000US06075011800,6075011800,"Census Tract 118, San Francisco County, California",1423,164,55.8,7.1,51.3,6.6,8.1,4.7
1400000US06075011901,6075011901,"Census Tract 119.01, San Francisco County, California",2544,170,65.6,5.4,61.8,5.2,5.8,2.5
1400000US06075011902,6075011902,"Census Tract 119.02, San Francisco County, California",2750,262,76.5,4.3,73.5,4.2,4,2.1
1400000US06075012000,6075012000,"Census Tract 120, San Francisco County, California",3851,371,67.3,8.1,62.3,7.8,7.4,4.6
1400000US06075012100,6075012100,"Census Tract 121, San Francisco County, California",3849,297,70.3,6.7,66.3,6.8,5.7,2.7
1400000US06075012201,6075012201,"Census Tract 122.01, San Francisco County, California",4438,366,63.1,7.1,61,7.1,3.3,2.1
1400000US06075012202,6075012202,"Census Tract 122.02, San Francisco County, California",3223,599,65.3,8.8,60,9.5,8.1,4.1
1400000US06075012301,6075012301,"Census Tract 123.01, San Francisco County, California",1904,254,46.6,7.4,42.3,7,9.1,5.2
1400000US06075012302,6075012302,"Census Tract 123.02, San Francisco County, California",2501,209,68.5,5.5,63.2,5,7.7,3.4
1400000US06075012401,6075012401,"Census Tract 124.01, San Francisco County, California",4042,421,63,6.6,57.8,6.9,8.4,3.7
1400000US06075012402,6075012402,"Census Tract 124.02, San Francisco County, California",3462,344,61.7,5.3,57.4,5.2,6.9,3.7
1400000US06075012501,6075012501,"Census Tract 125.01, San Francisco County, California",3284,296,44.9,6,40.8,6.7,9,5.8
1400000US06075012502,6075012502,"Census Tract 125.02, San Francisco County, California",3427,417,39.2,8.3,33.8,8.6,13.6,8.8
1400000US06075012601,6075012601,"Census Tract 126.01, San Francisco County, California",2156,178,89.4,3.4,84.4,3.6,5,2.4
1400000US06075012602,6075012602,"Census Tract 126.02, San Francisco County, California",2534,175,79.5,4.7,76.2,4.8,4.1,1.9
